There were varying degrees of Romanization throughout Roman Dacia.	整个罗马达契亚有不同程度的罗马化。
The bier and the pall spread over it are tilted towards the viewer with the lion supporting the head standing 2-centimetre (1 in) shorter, increasing the visibility of the effigy, especially the head.	棺材和铺在上面的棺罩向观者倾斜，支撑头部的狮子矮了 2 厘米（1 英寸），增加了雕像的可见度，尤其是头部。
The gilded-bronze, life-size effigy itself makes no attempt to argue for Cossa's papal status, dressing Cossa clearly in the costume of a cardinal; the bedding it rests on is of un-gilt bronze.	真人大小的镀金青铜雕像本身并没有试图为 Cossa 的教皇地位辩护，而是让 Cossa 身着红衣主教服装，它所依靠的垫子是未镀金的青铜。
The opening in the 16th century of the sarcophagus confirmed that Cossa's actual burial clothes matched the effigy.	16 世纪石棺开棺证实了 Cossa 的实际葬服与雕像相符。
There was no precedent for a three-dimensional gilded-bronze effigy on an Italian tomb monument; there was, however, a 6-foot (1.83 m) gilt bronze statue on the balcony of the Palazzo della Briada in Bologna commissioned by Pope Boniface VIII.	在意大利的墓碑上没有三维镀金铜像的先例；不过，在 Bologna 的 Palazzo della Briada 露台上有一尊 6 英尺（1.83 米）的镀金铜像，由教宗波尼法爵八世委托制作。
Chief Wiggum pulls Troy McClure over for dangerous driving.	Wiggum 局长以危险驾驶为由将 Troy McClure 拦下。
Not wishing to be required to wear his glasses while driving, Troy goes to the DMV to get his license changed to remove the requirement.	特洛伊不希望被要求在驾驶时戴眼镜，于是去 DMV 更换了驾照，以解除这一要求。
He offers to take DMV employee Selma Bouvier to dinner if she lets him pass the eye test, to which she agrees.	他提出，如果 DMV 员工 Selma Bouvier 让他通过视力测试，就带她去用餐，她同意了。
After dinner, photographers notice Troy leaving with Selma and the story hits the news.	晚饭后，摄影师注意到 Troy 和 Selma 一同离开，这件事就上了新闻。
The next day, Troy's agent, MacArthur Parker, calls and says that he can get work again if he continues seeing Selma.	次日，Troy 的经纪人 MacArthur Parker 打电话说，如果他继续和 Selma 约会，他就能再次得到工作。
Troy continues to date her and his career begins to recover.	Troy 继续和她约会，他的事业开始恢复。
On his agent's advice, Troy asks Selma to marry him; she agrees.	在经纪人的建议下，Troy 向 Selma 求婚；她同意了。
The night before the wedding, a drunk Troy tells Homer the reason for his marriage: he doesn't really love Selma, and he just plans to use her as a sham wife to help further his career.	在婚礼前夜，喝醉了的 Troy 告诉 Homer 他结婚的原因：他并非真的爱 Selma，只是打算把她佯装妻子来帮助他的事业发展。
Although Homer fails to act, Marge and Patty try to explain it to Selma, who accuses them of just being envious.	虽然 Homer 没有采取行动，但 Marge 和 Patty 试图向 Selma 解释，Selma 指责他们只是嫉妒而已。
She confronts Troy, who shamelessly admits that their marriage is a sham but explains she has everything she could want and will be "the envy of every other sham wife in town".	她与 Troy 对峙，Troy 无耻地承认他们的婚姻是一场骗局，但解释说她拥有她想要的一切，并且会成为“城里其他所有妻子艳羡的对象”。
Selma has doubts, but accepts the situation because she fears being alone.	Selma 带着疑虑，但还是接受了这种情况，因为她害怕孤独。
Parker thinks he can get Troy the part of McBain's sidekick in McBain IV: Fatal Discharge, but concludes he will have a better chance if he has a family.	Parker 认为他可以让 Troy 成为《麦克贝恩 4：致命排放》中 Mcbain 的助手，但他得出结论，如果他有家庭的话机会更大。
Troy and Selma try to conceive a child, but neither feels comfortable with their situation, and Selma finally leaves after deciding that bringing a child into a loveless family is wrong.	Troy 和 Selma 想怀孩子，但两人都对自己的处境感到不称心，Selma 断定把孩子带到一个没有爱的家庭是错误的之后，终于离开了。
During the first half of the end credits, news confirmed that Troy turns down the role of McBain's sidekick to direct and star in his own film, The Contrabulous Fabtraption of Professor Horatio Hufnagel.	在谢幕的前半部分，有消息证实，Troy 拒绝了 McBain 的助手角色，执导并主演了自己的电影 《Contrabulous Fabtraption of Professor Horatio Hufnagel 》。
Show runners Bill Oakley and Josh Weinstein were fans of actor Phil Hartman, who had been a recurring guest star since the second season.	节目主持人 Bill Oakley 和 Josh Weinstein 是演员 Phil Hartman 的粉丝，他从第二季开始就经常客串。
They decided to produce an episode entirely about his character Troy McClure to give Hartman as much to do as possible.	他们决定制作一集完全关于他的角色 Troy McClure 的节目，以便让 Hartman 尽可能多地发挥。
Oakley wanted to explore Troy's character because he had never interacted with the show's other characters before, only appearing on television.	Oakley 想要探索 Troy 的性格，因为他以前从未与剧中其他角色互动过，只是在电视上出现过。
The writers chose the plot idea of Troy's marriage to Selma Bouvier because she was "always marrying people".	编剧选择了 Troy 与 Selma Bouvier 结婚的情节思路，因为她“总是在和人结婚”。
The episode's first draft was written by freelance writer Jack Barth, although the rest of the writing staff rewrote it.	该集的初稿由自由撰稿人 Jack Barth 撰写，不过其余编剧对它进行了改写。
One aspect of the rewrite was the song "Dr. Zaius" from the Planet of the Apes musical, which the staff consider to be one of the greatest musical numbers ever written for The Simpsons.	改写的一个方面是《人猿星球》音乐剧中的歌曲“Zaius 博士”，工作人员认为这是为《辛普森一家》创作的最伟大的音乐作品之一。
Clair was created for The Cosby Show by series creator, comedian Bill Cosby.	克莱尔是为《考斯比一家》创作的，由该剧集的创作者、喜剧演员比尔考斯比创作。
Cosby originally pitched a series about a detective who solves crime using his wit and humor; Clair's earliest incarnation resembled his character's girlfriend, who is depicted as "a strong woman with her own career." Networks were not interested in developing the series, so Cosby opted for a somewhat more autobiographical approach instead.	考斯比最初提出了一部关于运用他的机智和幽默来解决犯罪问题的侦探连续剧；克莱尔最早的化身类似于他这个角色的女友，她被描述为“一个有自己事业的女强人”。Networks 对制作该剧集不感兴趣，因此考斯比选择了一种带点自传性质的方式。
Cosby eventually based The Cosby Show on his stand-up comedy film Bill Cosby: Himself (1983), which heavily features jokes about his relationship with his wife and their interactions with their children.	考斯比最终以他的单口喜剧电影《比尔考斯比其人》(1983) 为基础拍摄了《考斯比一家》，其中大量笑话关于他与妻子的关系以及他们与孩子的互动。
Clair is based on Cosby's real-life wife Camille.	克莱尔的原型是考斯比现实生活中的妻子卡米尔。
Although the role of the parents in the show evolved dramatically from The Cosby Show's initial inception to final production, the one idea that was retained from Cosby's detective series was the concept of a strong career woman.	尽管从《考斯比一家》最初的构思到最后的制作，剧中父母的角色发生了巨大变化，但从考斯比的侦探剧集中保留下来的一种观点就是职场女强人的概念。
When Cosby originally pitched The Cosby Show to NBC, it revolved around the life of a blue-collar couple; Clair was intended to be a plumber while the character's husband Cliff, portrayed by Cosby himself, was a limousine driver.	在考斯比最初向 NBC 推荐《考斯比一家》时，它围绕一对蓝领夫妻的生活展开；克莱尔打算成为一名水管工，而这个角色的丈夫则是一名豪车司机，由考斯比本人饰演。
Eventually, the idea of Clair working as a plumber was discarded and the character briefly became a Dominican housewife instead.	最终，克莱尔当水管工的构思被抛弃，这个角色变成了一名昙花一现的多米尼加家庭主妇。
Inspired by Ricky Ricardo from the sitcom I Love Lucy, of whom Cosby was a fan, much of the show's humor would have been directly derived from Clair's tendency to revert to her native language Spanish when upset or agitated.	该剧的灵感来自情景喜剧《我爱露西》中的 Rick Ricardo，考斯比是他的粉丝，该剧的大部分幽默直接源自克莱尔在不开心或激动时倾向于使用母语西班牙语。
